"Id
attempt";"Id
user";Device;IP address;MAC address;Place;Time;Authentication method;"Attempts with incorrect password 
(k)";"Keystroke 
(seconds/key)";"Attempts with correct password & invalid keystroke 
(m)";"Attempts with biometrics
(l)";"Safe authentication
(Yes/No)"
22;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
23;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;No
24;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
25;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
26;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Office;Morning;Password;>3;[1.6, 2.6[;>3;;No
27;2;Laptop;10.10.0.5;08-3C-51-D1-B2-9B;Office;Morning;Biometric;>3;[1.6, 2.6[;>3;>2;No
28;2;Laptop;10.10.0.5;08-3C-51-D1-B2-9B;Office;Morning;Biometric;>3;[1.6, 2.6[;>3;>2;Yes
29;2;Smartphone;10.15.20.100;82-CD-0E-4E-97-2F;Other;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
30;2;Smartphone;10.15.20.100;82-CD-0E-4E-97-2F;Other;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
31;2;Smartphone;10.15.20.100;82-CD-0E-4E-97-2F;Other;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
32;2;Smartphone;10.15.20.100;82-CD-0E-4E-97-2F;Other;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
33;2;Laptop;10.44.0.2;6E-64-7B-F5-94-3D;Other;Morning;Password;>3;[1.6, 2.6[;>3;;No
34;2;Laptop;10.44.0.2;6E-64-7B-F5-94-3D;Other;Morning;Password;>3;[1.6, 2.6[;>3;;No
35;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Office;Morning;Password;>3;[0.5, 1.6[;>3;;No
36;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
37;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Password;<=3;[0.5, 1.6[;<=3;;Yes
38;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Office;Morning;Password;>3;[0.5, 1.6[;>3;;No
39;2;Smartphone;10.10.0.5;08-3C-51-D1-B2-9B;Office;Morning;Biometric;>3;[0.5, 1.6[;>3;>2;No
40;2;Smartphone;10.10.0.5;08-3C-51-D1-B2-9B;Office;Morning;Biometric;>3;[0.5, 1.6[;>3;>2;No
41;2;Smartphone;10.44.0.2;6E-64-7B-F5-94-3D;Other;Morning;Password;>3;[0.5, 1.6[;>3;;No
42;2;Smartphone;10.44.0.2;6E-64-7B-F5-94-3D;Other;Morning;Password;>3;[0.5, 1.6[;>3;;No
43;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
44;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Office;Morning;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
45;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Password;>3;[1.6, 2.6[;>3;;No
46;2;Smartphone;10.15.20.100;82-CD-0E-4E-97-2F;Other;Afternoon;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
47;2;Smartphone;172.25.0.3;35-57-77-A4-D7-D0;Other;Afternoon;Password;>3;[1.6, 2.6[;>3;;No
48;2;Laptop;10.44.0.120;01-E5-E6-4E-07-1A;Home;Morning;Biometric;>3;[1.6, 2.6[;>3;>2;Yes
49;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
50;2;Smartphone;10.15.20.100;82-CD-0E-4E-97-2F;Other;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
51;2;Laptop;10.44.0.120;01-E5-E6-4E-07-1A;Home;Morning;Biometric;>3;[1.6, 2.6[;>3;>2;No
52;2;Laptop;10.44.0.5;6E-64-7B-F5-94-3D;Other;Morning;Biometric;>3;[1.6, 2.6[;>3;>2;No
53;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
54;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
55;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;>3;[1.6, 2.6[;>3;<=2;No
56;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
57;2;Laptop;10.51.0.11;06-59-AF-31-F7-17;Other;Afternoon;Biometric;>3;[1.6, 2.6[;>3;>2;No
58;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
59;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Other;Morning;Password;<=3;[1.6, 2.6[;<=3;;Yes
60;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Other;Morning;Password;<=3;[1.6, 2.6[;<=3;;Yes
61;2;Smartphone;10.15.20.100;82-CD-0E-4E-97-2F;Other;Afternoon;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
62;2;Laptop;192.168.240.22;08-3C-51-D1-B2-9B;Other;Afternoon;Biometric;<=3;[0.5, 1.6[;>3;>2;No
63;2;Smartphone;10.15.20.100;82-CD-0E-4E-97-2F;Other;Afternoon;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
64;2;Smartphone;10.15.20.100;82-CD-0E-4E-97-2F;Other;Afternoon;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
65;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Biometric;>3;[1.6, 2.6[;>3;<=2;No
66;2;Smartphone;10.15.20.100;82-CD-0E-4E-97-2F;Other;Afternoon;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
67;2;Smartphone;10.15.20.100;82-CD-0E-4E-97-2F;Other;Afternoon;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
68;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;>3;[1.6, 2.6[;>3;>2;No
69;2;Laptop;192.168.240.22;08-3C-51-D1-B2-9B;Other;Afternoon;Biometric;<=3;[0.5, 1.6[;>3;>2;Yes
70;2;Laptop;192.168.240.22;08-3C-51-D1-B2-9B;Other;Afternoon;Biometric;<=3;[0.5, 1.6[;>3;>2;No
71;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Other;Morning;Password;<=3;[1.6, 2.6[;<=3;;Yes
72;2;Laptop;10.51.0.11;06-59-AF-31-F7-17;Other;Afternoon;Biometric;>3;[1.6, 2.6[;>3;>2;No
73;2;Laptop;10.51.0.11;06-59-AF-31-F7-17;Other;Afternoon;Biometric;>3;[1.6, 2.6[;>3;>2;No
74;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
75;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
76;2;Laptop;192.168.10.155;01-E5-E6-4E-07-1A;Home;Morning;Password;>3;[1.6, 2.6[;>3;;No
77;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
78;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
79;2;Smartphone;10.44.0.120;01-E5-E6-4E-07-1A;Home;Morning;Biometric;>3;[0.5, 1.6[;>3;>2;No
80;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
81;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
82;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Biometric;>3;[1.6, 2.6[;>3;<=2;No
83;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
84;2;Laptop;192.168.240.22;08-3C-51-D1-B2-9B;Other;Morning;Biometric;<=3;[1.6, 2.6[;>3;>2;No
85;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Password;<=3;[1.6, 2.6[;<=3;;Yes
86;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Password;<=3;[1.6, 2.6[;<=3;;Yes
87;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Password;<=3;[1.6, 2.6[;<=3;;Yes
88;2;Laptop;10.44.0.2;6E-64-7B-F5-94-3D;Other;Afternoon;Biometric;>3;[0.5, 1.6[;>3;>2;No
89;2;Laptop;10.44.0.2;6E-64-7B-F5-94-3D;Other;Afternoon;Biometric;>3;[0.5, 1.6[;>3;>2;No
90;2;Laptop;10.44.0.2;6E-64-7B-F5-94-3D;Other;Afternoon;Biometric;>3;[0.5, 1.6[;>3;>2;No
91;2;Smartphone;10.44.0.120;01-E5-E6-4E-07-1A;Home;Morning;Biometric;>3;[0.5, 1.6[;>3;>2;No
92;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
93;2;Smartphone;10.44.0.120;01-E5-E6-4E-07-1A;Home;Morning;Biometric;>3;[0.5, 1.6[;>3;>2;No
94;2;Smartphone;10.44.0.5;6E-64-7B-F5-94-3D;Other;Morning;Biometric;>3;[0.5, 1.6[;>3;>2;Yes
95;2;Smartphone;10.44.0.5;6E-64-7B-F5-94-3D;Other;Morning;Biometric;>3;[0.5, 1.6[;>3;>2;No
96;2;Smartphone;10.44.0.5;6E-64-7B-F5-94-3D;Other;Morning;Biometric;>3;[0.5, 1.6[;>3;>2;No
97;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
98;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
99;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[1.6, 2.6[;>3;<=2;No
100;2;Smartphone;192.168.1.2;06-59-AF-31-F7-17 ;Other;Afternoon;Biometric;>3;[0.5, 1.6[;>3;>2;No
101;2;Smartphone;192.168.1.2;06-59-AF-31-F7-17 ;Other;Afternoon;Biometric;>3;[0.5, 1.6[;>3;>2;No
102;2;Smartphone;192.168.1.2;06-59-AF-31-F7-17 ;Other;Afternoon;Biometric;>3;[0.5, 1.6[;>3;>2;No
103;2;Laptop;192.168.10.155;01-E5-E6-4E-07-1A;Home;Morning;Password;>3;[1.6, 2.6[;>3;;No
104;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Home;Afternoon;Password;<=3;[0.5, 1.6[;<=3;;Yes
105;2;Laptop;10.10.0.5;08-3C-51-D1-B2-9B;Office;Morning;Biometric;>3;[0.5, 1.6[;>3;>2;No
106;2;Laptop;10.10.0.5;08-3C-51-D1-B2-9B;Office;Morning;Biometric;>3;[0.5, 1.6[;>3;>2;No
107;2;Smartphone;172.18.0.34;82-CD-0E-4E-97-2F;Other;Morning;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
108;2;Laptop;10.10.0.5;08-3C-51-D1-B2-9B;Office;Morning;Biometric;>3;[0.5, 1.6[;>3;>2;No
109;2;Laptop;10.10.0.5;08-3C-51-D1-B2-9B;Office;Morning;Biometric;>3;[0.5, 1.6[;>3;>2;No
110;2;Laptop;192.168.240.22;08-3C-51-D1-B2-9B;Other;Morning;Biometric;<=3;[1.6, 2.6[;>3;>2;No
111;2;Laptop;192.168.240.22;08-3C-51-D1-B2-9B;Other;Morning;Biometric;<=3;[1.6, 2.6[;>3;>2;No
112;2;Smartphone;172.18.0.34;82-CD-0E-4E-97-2F;Other;Morning;Biometric;>3;[0.5, 1.6[;>3;<=2;No
113;2;Laptop;192.168.240.22;08-3C-51-D1-B2-9B;Other;Morning;Biometric;<=3;[1.6, 2.6[;>3;>2;No
114;2;Laptop;10.44.0.5;06-59-AF-31-F7-17;Other;Afternoon;Password;>3;[0.5, 1.6[;>3;;No
115;2;Laptop;10.44.0.5;06-59-AF-31-F7-17;Other;Afternoon;Password;>3;[0.5, 1.6[;>3;;No
116;2;Laptop;10.44.0.5;06-59-AF-31-F7-17;Other;Afternoon;Password;>3;[0.5, 1.6[;>3;;No
117;2;Laptop;10.44.0.5;06-59-AF-31-F7-17;Other;Afternoon;Password;>3;[0.5, 1.6[;>3;;No
118;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Other;Morning;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
119;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Other;Morning;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
120;2;Smartphone;192.168.10.155;01-E5-E6-4E-07-1A;Home;Afternoon;Password;>3;[1.6, 2.6[;>3;;Yes
121;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Other;Morning;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
122;2;Smartphone;172.18.0.34;82-CD-0E-4E-97-2F;Other;Morning;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
123;2;Smartphone;10.11.0.2;08-3C-51-D1-B2-9B;Office;Afternoon;Biometric;>3;[0.5, 1.6[;>3;>2;No
124;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Other;Afternoon;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
125;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Other;Afternoon;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
126;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Other;Afternoon;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
127;2;Smartphone;192.168.10.155;01-E5-E6-4E-07-1A;Home;Afternoon;Password;>3;[1.6, 2.6[;>3;;No
128;2;Smartphone;192.168.10.155;01-E5-E6-4E-07-1A;Home;Afternoon;Password;>3;[1.6, 2.6[;>3;;Yes
129;2;Smartphone;192.168.10.155;01-E5-E6-4E-07-1A;Home;Afternoon;Password;>3;[1.6, 2.6[;>3;;No
130;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Password;<=3;[1.6, 2.6[;<=3;;Yes
131;2;Smartphone;10.11.0.2;08-3C-51-D1-B2-9B;Office;Afternoon;Biometric;>3;[0.5, 1.6[;>3;>2;No
132;2;Smartphone;10.11.0.2;08-3C-51-D1-B2-9B;Office;Afternoon;Biometric;>3;[0.5, 1.6[;>3;>2;No
133;2;Smartphone;10.11.0.2;08-3C-51-D1-B2-9B;Office;Afternoon;Biometric;>3;[0.5, 1.6[;>3;>2;No
134;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Office;Morning;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
135;2;Smartphone;172.30.10.21;67-C6-68-10-D9-8A;Other;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;>2;No
136;2;Smartphone;172.30.10.21;67-C6-68-10-D9-8A;Other;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;>2;No
137;2;Smartphone;172.30.10.21;67-C6-68-10-D9-8A;Other;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;>2;No
138;2;Smartphone;172.30.10.21;67-C6-68-10-D9-8A;Other;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;>2;No
139;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Password;<=3;[0.5, 1.6[;<=3;;No
140;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Password;<=3;[0.5, 1.6[;<=3;;Yes
141;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Password;<=3;[0.5, 1.6[;<=3;;Yes
142;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;>2;No
143;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;>2;No
144;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
145;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;>2;No
146;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;>2;No
147;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;>2;No
148;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
149;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
150;2;Smartphone;10.51.0.11;06-59-AF-31-F7-17;Other;Morning;Biometric;>3;[1.6, 2.6[;>3;>2;No
151;2;Smartphone;10.51.0.11;06-59-AF-31-F7-17;Other;Morning;Biometric;>3;[1.6, 2.6[;>3;>2;No
152;2;Smartphone;10.51.0.11;06-59-AF-31-F7-17;Other;Morning;Biometric;>3;[1.6, 2.6[;>3;>2;No
153;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Password;<=3;[0.5, 1.6[;<=3;;No
154;2;Smartphone;10.51.0.11;06-59-AF-31-F7-17;Other;Morning;Biometric;>3;[1.6, 2.6[;>3;>2;Yes
155;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Other;Afternoon;Biometric;>3;[1.6, 2.6[;>3;>2;No
156;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Other;Afternoon;Biometric;>3;[1.6, 2.6[;>3;>2;No
157;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Other;Afternoon;Biometric;>3;[1.6, 2.6[;>3;>2;No
158;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Password;<=3;[0.5, 1.6[;<=3;;No
159;2;Smartphone;10.51.0.11;06-59-AF-31-F7-17;Other;Morning;Biometric;>3;[1.6, 2.6[;>3;>2;No
160;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
161;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[1.6, 2.6[;>3;>2;No
162;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Password;<=3;[1.6, 2.6[;<=3;;Yes
163;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[1.6, 2.6[;>3;>2;No
164;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[1.6, 2.6[;>3;>2;No
165;2;Laptop;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Password;<=3;[0.5, 1.6[;<=3;;No
166;2;Laptop;10.10.0.5;08-3C-51-D1-B2-9B;Office;Afternoon;Biometric;>3;[0.5, 1.6[;>3;>2;No
167;2;Laptop;10.10.0.5;08-3C-51-D1-B2-9B;Office;Afternoon;Biometric;>3;[0.5, 1.6[;>3;>2;Yes
168;2;Laptop;10.10.0.5;08-3C-51-D1-B2-9B;Office;Afternoon;Biometric;>3;[0.5, 1.6[;>3;>2;No
169;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Other;Afternoon;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
170;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Other;Afternoon;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
171;2;Laptop;10.10.0.5;08-3C-51-D1-B2-9B;Office;Afternoon;Biometric;>3;[0.5, 1.6[;>3;>2;No
172;2;Laptop;10.10.0.5;08-3C-51-D1-B2-9B;Office;Afternoon;Biometric;>3;[0.5, 1.6[;>3;>2;No
173;2;Laptop;10.10.0.5;08-3C-51-D1-B2-9B;Office;Afternoon;Biometric;>3;[0.5, 1.6[;>3;>2;No
174;2;Laptop;172.18.0.34;82-CD-0E-4E-97-2F;Other;Morning;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
175;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[0.5, 1.6[;>3;>2;No
176;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[0.5, 1.6[;>3;>2;No
177;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Afternoon;Biometric;<=3;[1.6, 2.6[;>3;<=2;Yes
178;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[0.5, 1.6[;>3;>2;No
179;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[0.5, 1.6[;>3;>2;No
180;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[1.6, 2.6[;>3;>2;Yes
181;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[0.5, 1.6[;>3;>2;No
182;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Password;<=3;[0.5, 1.6[;<=3;;Yes
183;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
184;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Password;>3;[0.5, 1.6[;>3;;No
185;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Password;>3;[0.5, 1.6[;>3;;No
186;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Password;>3;[0.5, 1.6[;>3;;No
187;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Password;>3;[0.5, 1.6[;>3;;No
188;2;Smartphone;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;>3;[0.5, 1.6[;>3;<=2;Yes
189;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Password;>3;[0.5, 1.6[;>3;;No
190;2;Laptop;10.10.0.5;08-3C-51-D1-B2-9B;Office;Afternoon;Biometric;>3;[1.6, 2.6[;>3;>2;No
191;2;Smartphone;10.10.0.5;82-CD-0E-4E-97-2F;Office;Morning;Password;<=3;[1.6, 2.6[;<=3;;No
192;2;Laptop;10.10.0.5;08-3C-51-D1-B2-9B;Office;Afternoon;Biometric;>3;[1.6, 2.6[;>3;>2;No
193;2;Laptop;10.10.0.5;08-3C-51-D1-B2-9B;Office;Afternoon;Biometric;>3;[1.6, 2.6[;>3;>2;No
194;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
195;2;Laptop;192.168.10.155;82-CD-0E-4E-97-2F;Home;Morning;Biometric;<=3;[0.5, 1.6[;>3;<=2;Yes
196;2;Laptop;172.17.0.15;82-CD-0E-4E-97-2F;Other;Afternoon;Password;<=3;[1.6, 2.6[;<=3;;Yes
197;2;Smartphone;172.17.0.15;82-CD-0E-4E-97-2F;Office;Afternoon;Biometric;>3;[1.6, 2.6[;>3;<=2;Yes
198;2;Laptop;192.168.10.155;01-E5-E6-4E-07-1A;Home;Morning;Password;>3;[1.6, 2.6[;>3;;No
